Firm Name,Target Name,Target Email,Discovery Details,Source URLs
Toyota AI Ventures,[NAME],[EMAIL],"### Industry
Venture Capital and Private Equity Principals

### Company Size
11-50 employees  
48 associated members (LinkedIn members who've listed Toyota Ventures as their current workplace on their | ## Who We Are

Chris Abshire
Jim Adler
Laura Bocek
Chris Casillas
Lisa Coca
Evan Cohen
Carlo Cruz
Ken Kiyono
Katie Kloska
Katie Lam
Evelyn Lassman
Joan Lee
Natalie Fonseca Licciardi
Maggie Mouat
Sonny | |  |  |
 --- |
| Website |  |
| Employees | 11-50 employees  View all Toyota Ventures employee",https://tracxn.com/d/companies/apex.ai/__JlsMUGsVOppBUwJU8Nl-Y6UW0nNBSO3lQj07NOzFYVw/funding-and-investors
Smart Infrastructure Ventures,[NAME],[EMAIL],"The SIVentures team has more than 20 years' experience in investment and entrepreneurship. The founding team - consisting of Björn Bauermeister, formerly a trader at BNP Paribas in New York and London | Report this post

Following the success of its first fund, Leipzig-based VC fund SIVentures (prev. Smart Infrastructure Ventures) has announced the launch of its €30 million fund SIVentures II to inve | #### Co-Investing With the Best

  AV routinely co-invests alongside leading venture firms suc",https://www.vestbee.com/insights/articles/si-ventures-launches-30-m-fund
Haufe Group Ventures,[NAME],[EMAIL],"With its technology, Aiomics addresses one of the most pressing challenges in the European healthcare system: workforce shortages exacerbated by excessive documentation requirements. Unlike pure trans | Managing Director Haufe Group Ventures

### Contact

Jasper Roll is highly familiar with the world of start-ups and working on innovative business models from multiple perspectives. He knows from his  | professionals, transform industries, and empower a region. And we’re honoured to be part of th",https://globalventuring.com/corporate/europe/germany-startups-thrive-ai-age/
About SEK Ventures,[NAME],[EMAIL],"### About COMPREDICT (2017)

Founded as a spin-off from TU Darmstadt, COMPREDICT began with the mission to transform vehicle data into valuable insights for efficient, safe, and sustainable mobility.  | Swedish AI startup Emfas secures SEK 6.7 million from high-profile angel investors Founded in 2024 by Vidar Trojenborg, Rasmus Guterstam, and Carl Piehl, Stockholm-based Emfas has developed an AI solu | Image 17: Marc Ramsay

Marc Ramsay

Operating Partner | Menlo Park
Marc Ramsay is an Operating",https://compredict.ai/portfolio/compredict-secures-pre-seed-investment
Springtide Ventures,[NAME],[EMAIL],"3, and began streaming on Jolt.Film on October 15. Check it out! [Likes: 7, Comments: 0]; SpringTide Ventures (1mo): We’re proud to share that our Managing Partner, Austin Walters , has been recognize | Springtide Ventures, a member of KKCG, a company owned by Karlu Komárkovi, invests the vast majority of its investments in Israel, where it primarily focuses on more advanced start-ups that already ha | #### The Information You Provide

On our website, you may volunteer information about yourself",https://fintech.global/2025/04/17/european-regtech-funding-fell-by-a-fifth-in-q1-2025-as-deal-activity-stabilises/
Microsoft Ventures,[NAME],[EMAIL],"Seed - Series B+

Unknown

$100K - $1.5M

Unknown

Profile

Larsen Jensen

General Partner, Harpoon Ventures

AI

Deeptech

Cybersecurity

+

0

View more in profile...

Unknown

Pre-Seed - Series A

 | # Michael Stewart
Managing Partner at M12 | AI, gaming, semiconductors, deep tech VC
San Francisco Bay Area, US  
500 connections, 6441 followers

## About
PhD/MBA to VC, investing in AI, semiconducto | N/A$104m Second Round 12/05/2020 N/A$80m First Round 01/06/2019 N/A$31m Seed 09/08/2018 N/A$5m",https://www.ellty.com/blog/regtech-investors
Index Ventures,[NAME],[EMAIL],"is becoming a foundational layer in the AI stack. We’re proud to partner with the LiveKit team as they build the future of real-time applications. 📚Read more on our investment from Partner Sahir Azam  | Georgia   Stevenson  Joseph   Stolerman  Zack   Urlocker  Mike   Volpi  Mark   Xu [...] Nina   Achadjian  Julia   Andre  Ana   Andreescu  Sahir   Azam  Isaiah   Baril-Dore  Brendan   Boyle  Thea   Cra | Dec 4, 2025

www.globes.co.il

הגיוס של חברת הסייבר 7AI היה בהובלת אינדקס ונצ'רס ובהשתתפות זרו",https://www.ellty.com/blog/regtech-investors
Glasswing Ventures,[NAME],[EMAIL],"Identified as

# Glasswing Ventures

Glasswing Ventures is an early-stage VC firm investing in the next generation of AI and frontier technology startups enabling the rise of the intelligent enterpris | About Glasswing Ventures

Glasswing Ventures is a first-capital-in venture capital firm dedicated to building the future of enterprise and security through AI and Frontier Technology. The firm combine | Glasswing's Founder and Managing Partner, Rudina Seseri , and Operating Partner, Ellen Rubin ,",https://www.rho.co/blog/vcs-in-manufacturing
Salesforce Ventures,[NAME],[EMAIL],"“After 15 years of investing in enterprise technology, we’ve seen how monumental platform shifts create new market leaders,” said Paul Drews, Managing Partner at Salesforce Ventures. “We believe AI is | 0]; Salesforce Ventures (1w): 📸 Dining out with the best AI Operators in the biz On Saturday evening in London, we had the chance to co-host an AI Founder & Operator dinner with Black Forest Labs co-f | ESG
   Resources
   Resources
       Investor FAQs
       Investor Email Alerts
       Investo",https://www.failory.com/blog/automation-venture-capital-firms
Browse OpenVC,[NAME],[EMAIL],"## How to Pitch Active AI Investors and Win Funding

With the right approach, you can turn a cold list of names into engaged partners ready to back your vision. But it all starts with creating a winni | |  | Margulan Investment Pa...  Angel network | Kazakhstan  Uzbekistan+1 | $100k to $2M | 2. Prototype 3. Early Revenue+3 | We invest in AI, Cyber security, robotics, energy sectors |  | Send emailVie | Sand Hill North Colin Weston 500 Global May Ventures Rogue Women's Fund 🙏 Thank you guys for b",https://www.openvc.app/investor-lists/industry-4-investors
Compliance Forum Ventures,[NAME],[EMAIL],"AI

Fintech

Future of Work

Enterprise

N/A

Avg Check

$100K - Pre Seed; $250K - $750K - Seed

N/A

Leads?

Yes

N/A

Jump to Section

Investors at the FundNotable InvestmentsAbout the FundSheets Th | Abuleil, Joe Cardamone, Matt Cote, Carmen Tsang, Ksenia Onosov, Alejandro Pereda, Lauren Roberts, Catherine Gao, and Draper Sturdivant. More details in the BetaKit article linked in the comments — tha | Patricia Thaine

CEO

PrivateAI

PORTFOLIO SPOTLIGHT

Private AI develops privacy-preserving m",https://www.forumvc.com/thought-pieces/ai-compliance-opportunities
Forum Ventures,[NAME],[EMAIL],"Here is a list of topteam members in Forum Ventures:

| Name | Designation | Location | Board Memberships | Contact details |
 ---  --- 
| Michael Cardamone | Partner | New York City  2 Emails |
| Suy | AI

Bucky Khan

CEO

Finni Health

PORTFOLIO SPOTLIGHT

Finni Health provides world-class behavioral healthcare for children with Autism. Bucky joined Forum’s Accelerator Program in 2020 and closed th | Tusk publicly launched at the supply chain and logistics conference Manifest, and announced it",https://www.forumvc.com/thought-pieces/ai-compliance-opportunities
First Momentum Ventures,[NAME],[EMAIL],"| Name | Designation | Location | Board Memberships | Contact details |
 ---  --- 
| Sebastian Bohmer | Partner | Germany  1 Email |
| Andreas Fischer | Partner | Munich  1 Email |
| David Meiborg | P | Deep Tech Hardware Napkin

Download the report

Close

We use cookies to provide you with  the best website experience

Accept

Acceptdecline

declineCustomize

Customize

Thank you! Your submission h | Founded in 2018 by Sebastian Böhmer and Andreas Fischer, First Momentum Ventures is a venture ",https://shizune.co/investors/artificial-intelligence-investors-switzerland
S2S Ventures,[NAME],[EMAIL],"by augmenting every role with intelligence, insight, and automation. To our clients, partners, investors, and the incredible Nexl team: THANK YOU!!!! This is just the next chapter in a much bigger jou | are helping early-stage teams move 10x faster ,without burning out. At AI First Partners, we help startups design AI-first systems that act as real teammates And not tools.  #AIFirst #StartupGrowth #A | Showzone

### Showzone

Presentation delivery app powered by AI.

Storabble

### Storabble

Bo",https://app.zefyron.com/blog/9095ER5B00/Top-10-Early-Stage-Generative-AI-Startups-in-DACH-Region
DNX Ventures,[NAME],[EMAIL],"Q Motiwala (2w): DNX Ventures - US is honored to partner with Patrick Bowen , Hod Finkelstein , Michael Shebanow , Preston Woo and the entire Neurophos team as they pioneer the future of AI computing  | MORE INFO HERE!

BACK TO HOME PAGE

Published in Strategy

Tagged under

 DNX Ventures
 Zeligate
 Venture capital
 Investment
 Yurika Imuta
 Denver Naidoo
 digital
 Ben Foster

### Related items

 Kor | > Yurika Imuta, Principal at DNX Ventures, said, ""We're excited to invest in Zeligate as our f",https://startups.eithealth.eu/lists/52915/list?showTransactions=false
Join OpenVC,[NAME],[EMAIL],"## How to Pitch Active AI Investors and Win Funding

With the right approach, you can turn a cold list of names into engaged partners ready to back your vision. But it all starts with creating a winni | |  | Margulan Investment Pa...  Angel network | Kazakhstan  Uzbekistan+1 | $100k to $2M | 2. Prototype 3. Early Revenue+3 | We invest in AI, Cyber security, robotics, energy sectors |  | Send emailVie | Sand Hill North Colin Weston 500 Global May Ventures Rogue Women's Fund 🙏 Thank you guys for b",https://www.openvc.app/investor-lists/ai-investors
Our Impact Ventures,[NAME],[EMAIL],"What defines your portfolio?

AI applied to security, finance, and digital health defines our portfolio with a particular focus on deep tech and software platforms. As AI applications are created with | ​

Chief Investment Officer, Better Society Capital

Andrew Richardson

Advisor

​

Co-Founder & CEO, Amplified Group

​

Claire Kearney

Advisor

​

Managing Director, Investment Partnerships and Adv | criteria, and hands on technical assistance. For more information on programs, events, partner",https://shizune.co/investors/automotive-vc-funds-israel
Enterprise Mobility Ventures,[NAME],[EMAIL],"Jake Flomenberg, partner, Wing Venture Capital: The best companies right now combine two things: a compelling “why now” narrative — usually tied to GenAI creating new attack surfaces, infrastructure n | ## How to Pitch Active AI Investors and Win Funding

With the right approach, you can turn a cold list of names into engaged partners ready to back your vision. But it all starts with creating a winni | ## FAQs about Artificial Intelligence companies in Enterprise Mobility in US & Canada

Accel P",https://www.enterprisemobility.com/en/innovation-in-mobility/corporate-venture-capital.html
Motec Ventures,[NAME],[EMAIL],"## المواقع الجغرافية

Babenbergerstraße

9/12

Wien، Wien 1010، AT

Bellevuestraße 1

Berlin، Berlin 10785، DE

Rosental 7

Mindspace

München، Bayern 80331، DE

## موظفين في motec ventures

انقر هنا  | motec ventures started its first investment in the Smart Mobility sector with Israeli company RFISee (the world’s first 4D imaging-radar-on-1-chip) and CarFellows (a German joint venture between a Ger | Zal Bilimoria

Founding Partner, Refactor Capital

View Sheet

Investors focused on Cybersecur",https://www.motec.vc/
Porsche Ventures,[NAME],[EMAIL],"#### Sandro Kälin

  Responsabile ufficio stampa e relazione pubbliche

  sandro.kaelin@porsche.ch Mostra il contatto

## Weitere Artikel

Azienda

### ‘Start-up Your Dream’: New initiative supports f | Porsche Ventures engages with top entrepreneurs across the globe using regional investment teams. Through its global presence with different locations in key technology ecosystems, Porsche Ventures is | [Likes: 122, Comments: 9]; Porsche Ventures (3mo): 🚀 Congratulations to RunBuggy on closing a ",https://tracxn.com/d/companies/applied-intuition/__ED2WNDlvCijCE4b8Xo7YLVacaW9Rpk3KM93vjy61lIE/funding-and-investors
Airbus Ventures,[NAME],[EMAIL],"Here is a list of topteam members in Airbus Ventures:

| Name | Designation | Location | Board Memberships | Contact details |
 ---  --- 
| Thomas DHalluin | Partner | Menlo Park | CesiumAstro | 1 Ema | # Mobilising global capabilities for planetary system challenges.

### Abigail Hitchcock

Senior Associate

### Anri Takeno

Tokyo Office Manager

### Claas Kohl

Advisor

### Dorian Merritt

Head of  | # Thomas d'Halluin
Airbus Ventures
Menlo Park, California, United States, US  
500 connections",https://www.apex.ai/about
HELLA Ventures,[NAME],[EMAIL],"Here is a list of allteam members in Hella Ventures:

| Name | Designation | Location | Board Memberships | Contact details |
 ---  --- 
| Joerg Weisgerber | Partner | Germany  - |
| Fabian Hoffmann | | FORVIA HELLA (Motor Vehicle Manufacturing):  (N/A); GSBackers (Venture Capital and Private Equity Principals):  (N/A); Apex.AI (Software Development):  (Palo Alto, California); Trucks Venture Capital  | Money moves in silence. Download 2025 State of Venture Report: a data-driven analysis of activ",https://www.apex.ai/about
InMotion Ventures,[NAME],[EMAIL],"## Tomi Rantakari, CEO and Co-Founder, ChipFlow

“InMotion Ventures is much more than a fund. They are genuinely partners in the trenches. From facilitating our work with JLR, introducing us to other  | # William M.
I lead North American investment & scouting for InMotion Ventures CVC | JLR | Investing in enterprise/AI, industrial tech, decarbonization, deep tech, resilience
San Francisco Bay Area, U | Sebastian Peck, Managing Director at InMotion Ventures: “InMotion Ventures is excited to back ",https://www.apex.ai/about
Toyota Ventures,[NAME],[EMAIL],"Toyota Ventures is a venture capital firm founded in 2017. It is primarily based out of Los Altos, United States. As of Jan 2026, Toyota Ventures is an active investor, having invested in 78 companies | ### Lisa Coca

Partner, Climate Fund

Lisa Coca is a partner for Toyota Ventures where she leads the firm’s Climate Fund, which focuses on investing in innovative solutions for carbon neutrality.

Pri | ### Application Terms

For purposes of these Application Terms:

“Application” means your answ",https://www.apex.ai/about
